Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_9,Var2_10
699,0.001705142,0.001621317,0.001709586,0.001651659,0.001686883,0.001651493,0.001672372,0.001672292,0.002068376,0.001679237
700,0.001655877,0.001578763,0.001662812,0.001604923,0.001641555,0.00160791,0.001625733,0.00162202,0.002019967,0.001628589
701,0.001605894,0.001535033,0.001613459,0.001558943,0.00159478,0.001560113,0.001577512,0.001572822,0.001970315,0.001581164
702,0.001561534,0.001491051,0.00156625,0.00151349,0.001546593,0.001509242,0.001531422,0.001531245,0.001915995,0.001539901
703,0.0015112,0.00144306,0.001515652,0.001466263,0.001497233,0.001455567,0.001483395,0.001485609,0.001868691,0.001489968
704,0.00145958,0.0013938,0.001464866,0.001418464,0.001447236,0.001403436,0.001433969,0.001437931,0.001823818,0.001437197
705,0.001412176,0.001345503,0.001418211,0.00137057,0.001395827,0.001361219,0.001381458,0.001388289,0.001775747,0.001387112
706,0.001361156,0.001299586,0.00136992,0.00132496,0.001343687,0.001321561,0.001332424,0.001343111,0.001729889,0.00133859
707,0.001308397,0.001254358,0.001322568,0.001281005,0.001294785,0.001282695,0.001285559,0.001297456,0.001684247,0.001293467
708,0.001253399,0.00120911,0.001278059,0.001239326,0.001253516,0.001243973,0.001241459,0.001247893,0.001637594,0.001255056
709,0.001210869,0.00116424,0.00123294,0.00119443,0.001209338,0.001200927,0.001193045,0.001207214,0.00158359,0.001213957
710,0.001167953,0.001121399,0.001185927,0.001149409,0.001164321,0.001156235,0.001143063,0.001166995,0.001530534,0.001170009
711,0.001116818,0.001082941,0.00113474,0.001105835,0.001118916,0.001110092,0.001091794,0.001122607,0.00148379,0.001120874
712,0.001073658,0.001038403,0.001086917,0.001057259,0.00107287,0.001051571,0.001042529,0.001073766,0.001435042,0.001077065
713,0.001033461,0.000991986,0.001040381,0.001008593,0.001026284,0.000997209,0.000997505,0.00102274,0.001387542,0.001032697
714,0.000994657,0.000944933,0.000994428,0.000961578,0.00097903,0.000953684,0.000958046,0.000969992,0.00134259,0.000985389
715,0.000947391,0.000898408,0.000950091,0.000919955,0.000933486,0.000910205,0.000921495,0.000925259,0.001298917,0.000942073
